日付,会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
2026-07-30,大村,1,1,4447,深川麻奈,39,福岡,47,B1,5.59,36.61,6.76,57.58,47,37.84,60,35.14,313         11
2026-07-30,大村,1,2,4603,谷川将太,38,長崎,53,B1,5.59,38.89,5.57,36.90,70,33.33,57,28.95,6 11         9
2026-07-30,大村,1,3,3411,池上隆行,56,広島,52,B1,3.70,10.23,4.13,21.88,80,25.00,62,40.54,346          7
2026-07-30,大村,1,4,4138,中井俊祐,45,大阪,54,B1,5.05,33.66,4.04,21.43,32,29.27,71,37.84,5 35
2026-07-30,大村,1,5,4315,山崎昂介,42,長崎,53,B1,5.14,33.65,5.77,40.98,13,36.59,17,44.74,6 13         5
2026-07-30,大村,1,6,4173,岡谷健吾,43,広島,57,B1,5.32,34.62,5.55,31.82,53,45.00,16,24.32,6564
2026-07-30,大村,2,1,3981,今坂晃広,48,静岡,53,B1,4.02,19.83,4.66,25.71,31,38.24,24,44.74,4 65
2026-07-30,大村,2,2,3933,山地正樹,50,岡山,53,B1,5.91,42.61,5.80,36.59,72,8.33,12,43.24,232          9
2026-07-30,大村,2,3,4142,平野和明,45,愛知,53,A2,5.74,32.79,5.79,31.03,33,31.71,70,41.67,263          7
2026-07-30,大村,2,4,5136,濱野斗馬,26,香川,53,A1,6.12,42.31,5.83,41.67,73,10.81,56,31.58,2 31        11
2026-07-30,大村,2,5,3809,吉田光,51,佐賀,51,B1,3.97,8.57,4.60,17.02,67,25.00,40,35.14,536          8
2026-07-30,大村,2,6,4812,西野雄貴,36,徳島,51,A1,7.16,53.09,6.31,41.67,19,29.27,67,35.14,1521        10
2026-07-30,大村,3,1,5303,土井歩夢,23,福岡,51,A2,5.67,32.97,5.71,23.81,55,29.27,66,29.73,232          9
2026-07-30,大村,3,2,5257,西丸侑太,22,香川,52,A1,6.39,44.23,5.52,32.26,54,46.34,76,28.95,142         11
2026-07-30,大村,3,3,4137,君島秀三,45,滋賀,52,A1,6.56,46.67,5.33,38.89,57,37.84,23,23.08,1314        10
2026-07-30,大村,3,4,5148,松本怜,32,福岡,45,B1,5.42,32.26,4.50,20.83,79,31.71,51,37.84,3 64        12
2026-07-30,大村,3,5,3831,安藤裕貴,52,愛知,53,B1,4.47,27.18,4.27,27.27,61,44.19,54,39.47,4 56
2026-07-30,大村,3,6,4748,渡邉雄朗,40,東京,53,A1,6.19,42.00,6.00,50.00,52,42.50,77,47.22,514          7
2026-07-30,大村,4,1,4906,鈴木雅希,31,東京,54,A2,5.42,34.57,0.00,0.00,59,58.33,82,31.58,2 16        11
2026-07-30,大村,4,2,3853,岩崎正哉,53,福岡,54,A2,5.96,39.29,5.45,35.29,17,51.28,63,32.43,331         10
2026-07-30,大村,4,3,4049,荒川健太,45,三重,56,A2,6.24,41.26,0.00,0.00,34,43.90,47,51.35,2 55
2026-07-30,大村,4,4,5247,大森翼,24,兵庫,52,B1,4.78,23.89,4.56,11.11,50,8.33,22,10.53,654
2026-07-30,大村,4,5,4525,真子奈津,38,福岡,47,B1,4.33,23.08,4.61,32.26,60,24.32,25,44.74,2 25        12
2026-07-30,大村,4,6,4174,赤坂俊輔,43,長崎,52,A1,6.44,41.48,6.38,43.52,41,51.22,84,18.18,2212         9
2026-07-30,大村,5,1,5023,久永祥平,31,東京,52,A2,5.69,33.33,5.63,31.58,38,43.90,69,35.14,2 23        10
2026-07-30,大村,5,2,4315,山崎昂介,42,長崎,53,B1,5.14,33.65,5.77,40.98,13,36.59,17,44.74,6 13         1
2026-07-30,大村,5,3,5018,竹下大樹,27,福岡,55,A1,6.78,48.30,5.50,27.78,37,37.50,64,37.84,3141         9
2026-07-30,大村,5,4,5354,渡邊雄斗,21,三重,51,B1,4.05,20.99,0.00,0.00,30,23.08,75,39.47,654
2026-07-30,大村,5,5,3304,烏野賢太,58,徳島,52,A1,5.65,33.09,5.87,40.30,63,55.26,27,29.73,3231         9
2026-07-30,大村,5,6,5413,宮城那菜,20,福岡,47,B2,2.10,3.41,0.00,0.00,28,46.51,59,38.89,6 46        12
2026-07-30,大村,6,1,4278,藤岡俊介,43,兵庫,51,A1,6.88,55.64,7.41,56.10,25,33.33,31,39.47,1652        10
2026-07-30,大村,6,2,5307,富永夏哉,22,佐賀,51,B1,4.46,27.27,3.57,20.00,56,40.48,18,28.95,5 43
2026-07-30,大村,6,3,3618,海野ゆか,52,広島,44,A1,6.38,48.09,6.94,52.78,12,12.82,83,22.58,2456
2026-07-30,大村,6,4,4521,小池公生,39,福岡,51,B1,5.32,34.21,3.74,15.79,76,32.50,49,38.89,4 52
2026-07-30,大村,6,5,4596,葛原大陽,43,徳島,50,A2,5.80,36.09,6.28,40.00,24,51.28,68,27.03,1 24        10
2026-07-30,大村,6,6,5028,原田才一,29,福岡,50,A1,7.09,56.25,6.97,48.39,75,18.42,32,44.74,1412        11
2026-07-30,大村,7,1,4635,峰重力也,36,岡山,52,A2,5.55,37.80,4.87,32.26,43,30.00,46,41.67,152         11
2026-07-30,大村,7,2,3411,池上隆行,56,広島,52,B1,3.70,10.23,4.13,21.88,80,25.00,62,40.54,346          1
2026-07-30,大村,7,3,4748,渡邉雄朗,40,東京,53,A1,6.19,42.00,6.00,50.00,52,42.50,77,47.22,514          3
2026-07-30,大村,7,4,4846,佐藤駿介,32,山口,52,B1,4.52,25.51,4.20,25.00,46,39.02,41,19.35,646
2026-07-30,大村,7,5,4142,平野和明,45,愛知,53,A2,5.74,32.79,5.79,31.03,33,31.71,70,41.67,263          2
2026-07-30,大村,7,6,5367,赤松咲香,24,徳島,49,B2,1.86,4.76,1.21,0.00,15,19.51,34,37.84,6 66        12
2026-07-30,大村,8,1,4761,山田晃大,36,滋賀,53,A2,5.54,30.95,5.75,37.50,62,35.90,33,27.03,513
2026-07-30,大村,8,2,3327,野長瀬正,58,静岡,51,A2,6.08,42.37,5.50,30.00,23,42.86,19,23.08,4 35
2026-07-30,大村,8,3,3809,吉田光,51,佐賀,51,B1,3.97,8.57,4.60,17.02,67,25.00,40,35.14,536          2
2026-07-30,大村,8,4,5205,刑部亜里,29,静岡,49,A2,6.13,39.37,6.15,45.45,40,24.39,37,48.65,435         12
2026-07-30,大村,8,5,4967,中村魁生,28,大阪,51,A1,6.85,51.64,7.00,47.06,45,42.86,48,38.89,4133
2026-07-30,大村,8,6,4093,吉田宗弘,45,東京,50,B1,4.36,21.90,4.17,16.67,68,24.32,85,48.65,4645
2026-07-30,大村,9,1,4174,赤坂俊輔,43,長崎,52,A1,6.44,41.48,6.38,43.52,41,51.22,84,18.18,2212         4
2026-07-30,大村,9,2,5018,竹下大樹,27,福岡,55,A1,6.78,48.30,5.50,27.78,37,37.50,64,37.84,3141         5
2026-07-30,大村,9,3,3304,烏野賢太,58,徳島,52,A1,5.65,33.09,5.87,40.30,63,55.26,27,29.73,3231         5
2026-07-30,大村,9,4,5303,土井歩夢,23,福岡,51,A2,5.67,32.97,5.71,23.81,55,29.27,66,29.73,232          3
2026-07-30,大村,9,5,3933,山地正樹,50,岡山,53,B1,5.91,42.61,5.80,36.59,72,8.33,12,43.24,232          2
2026-07-30,大村,9,6,4603,谷川将太,38,長崎,53,B1,5.59,38.89,5.57,36.90,70,33.33,57,28.95,6 11         1
2026-07-30,大村,10,1,4812,西野雄貴,36,徳島,51,A1,7.16,53.09,6.31,41.67,19,29.27,67,35.14,1521         2
2026-07-30,大村,10,2,4137,君島秀三,45,滋賀,52,A1,6.56,46.67,5.33,38.89,57,37.84,23,23.08,1314         3
